UID,Age,RenovAge,Distance,IsRenovated,AgeSq,InteractionAgeDistance,LogInteraction,SubType,AdCreationAge,AskingPricePerSqm,SquareMeters,LandplotSize,NoView,ViewForest,ViewMountain,ViewSea,ViewUnlimited,NoFacade,FacadeCorner,FacadeFrontage,FacadeInterior,FacadeThrough,HeatType,HeatFrom,EnergyPerformance,WC,AC,Elevator,Parking,StorageRoom,AluminumFrames,Bedrooms,Pool,Garden,FloorLevel,FloorCount,GeoLat,GeoLon,ZoneValue,MarketabillityFactor,AskingPrice,AdminName
property_01KP5V052B4WAD2H41DRWET2Z5,2,2,0,0,4,0,0,apartment,2,13.043478260869565,115,115,0,0,0,0,0,0,0,0,0,0,autonomous_central,,Α+,2,0,0,1,1,0,3,0,0,4,1,38.0185948,23.7375115,1550,1,0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών
property_01KP5VHD1VB2T3F8VR2XT3SQJQ,2,2,0,0,4,0,0,apartment,14,14.634146341463415,82,250,0,0,1,0,0,0,0,1,0,1,autonomous_individual,natural_gas,Β,1,1,0,1,0,0,2,0,0,2,1,38.0199109,23.8330628,1850,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5V7AFP87KMYMYBG8A4342B,2,2,0,0,4,0,0,maisonette,2,29.166666666666668,120,120,0,0,0,0,0,0,0,1,0,1,autonomous_individual,,Α+,2,0,0,1,0,1,2,1,0,0,2,38.0212663,23.8439643,1700,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3WC57TMK5YXQ6QC18K8XW8,2,2,0,0,4,0,0,maisonette,1,21.16788321167883,137,300,0,0,0,0,0,0,0,1,0,1,autonomous_individual,electricity,Α+,2,1,0,1,1,1,3,1,1,0,1,38.0221127,23.8372646,1900,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3WZ009QBKWR46GW8FPHXC6,2,2,0,0,4,0,0,maisonette,1,19.56989247311828,93,93,0,0,0,0,0,0,0,0,0,1,autonomous_individual,electricity,Α+,2,1,0,1,1,1,3,1,1,1,2,38.0222236,23.8428254,1700,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3WDXCZ2FN0VECRSGJ7JXSS,2,2,0,0,4,0,0,maisonette,1,21.16788321167883,137,137,0,0,0,0,0,0,0,1,0,1,autonomous_individual,electricity,Α+,2,0,0,1,0,0,3,1,1,0,1,38.0236267,23.842472,1350,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
property_01KP5VF9B33MN9NZ40S9ERVZ2H,2,2,0,0,4,0,0,apartment,1,22.5,80,80,0,0,0,0,0,0,0,1,0,0,autonomous_central,electricity,Α+,1,1,0,0,1,1,2,0,0,3,1,38.0253542,23.8429985,2000,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VK2KW6RMSJ7136DXT77NC,2,2,0,0,4,0,0,apartment,2,17.272727272727273,110,110,0,0,0,0,0,0,0,1,0,1,autonomous_individual,natural_gas,Α+,2,1,0,1,1,1,3,0,1,1,1,38.0268647,23.800755,2000,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5V4FVG99WKMTG10EV6NYQK,2,2,0,0,4,0,0,apartment,1,14.347826086956522,115,115,0,0,0,0,0,0,1,1,0,0,autonomous_central,oil,Α+,1,0,0,1,1,1,3,0,1,0,1,38.0308415,23.856882,1350,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
property_01KP5V7AFMHYEVVRPJYSGN8GSM,2,2,0,0,4,0,0,maisonette,2,11.515151515151516,132,132,0,0,0,0,0,0,0,1,0,0,autonomous_individual,electricity,Α+,2,1,0,1,1,1,3,0,0,3,2,38.0413004,23.6768384,1500,1,0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών
property_01KP5V4FVNY15J5MTZBTC2HGMW,2,2,0,0,4,0,0,maisonette,14,11.515151515151516,132,300,0,0,0,0,0,0,0,1,0,0,autonomous_individual,electricity,Α,2,1,0,1,0,1,3,0,0,1,2,38.0428216,23.6775823,1500,1,0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών
property_01KP5V6NDDH469Q8T21TPCRJFC,2,2,0,0,4,0,0,apartment,10,11.029411764705882,136,136,0,0,0,0,0,0,0,0,0,0,autonomous_individual,pellet,Β,2,1,0,1,1,1,3,0,1,0,1,38.0431526,23.8565391,2250,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
property_01KR3W8T42S82EVDQKTN002WEK,2,2,0,0,4,0,0,apartment,6,20,125,125,0,1,0,0,0,0,1,1,0,1,autonomous_individual,,Α+,2,1,0,1,1,1,3,0,0,2,2,38.0455257,23.8162297,2000,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
